scholarship_program_name,promoter,funds,education_level,region,race,religion,major_study,gpa,gpa_status,identity,underrepresented_minority,volunteering,first_generation,parental_status,enrollment_pattern,low_income,background,total_awardee,deadline,essay,funding_type,scholarship_status
Life-Changing Concepts Scholarship,Bold,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Hulede Collegiate Golf Scholarship,John C. Hulede,10000,Any,All USA States,BIPOC,Public,Golf,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,5,07/01/2023,TRUE,Donor,Open
Josephine E. Sloane Scholarship for Legal Studies,Sloane Law LLC,500,Undergraduate-Graduate,All USA States,African American,Public,Law,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/18/2023,TRUE,Donor,Open
Sean Carroll's Mindscape Big Picture Scholarship,Sean Carroll's Mindscape,10000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,12/15/2023,TRUE,Donor,Open
TBC Academic Scholarship,Tiara Cosby,500,Senior High School,All USA States,BIPOC,Public,Arts,0,FALSE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation,1,06/01/2023,TRUE,Donor,Open
GTF Book Scholarship,The Gregory D. Tucker Foundation,500,Undergraduate,All USA States,African American/Black,Public,Any,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,HBCU student,1,06/15/2023,TRUE,Donor,Open
Opportunity for Our People Scholarship,Coops Corner,500,Undergraduate,All USA States,African American/Black,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,HBCU student,1,06/15/2023,TRUE,Donor,Open
Albright Carter Campbell Ohana Scholarship for Academic Excellence,George Albright,12200,Undergraduate-Graduate,All USA States,BIPOC,Public,Education/Law,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,TRUE,Low-income,3,06/01/2023,TRUE,Donor,Open
SmartAsset College SamrtStart Personal Finance Scholarship,SmartAsset,5000,Undergraduate,All USA States,,Public,Any,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,TRUE,Donor,Open
Margot Pickering Aspiring Attorney Scholarship,Margot Marie Pickering Bogner Memorial Scholarship Fund,2500,Undergraduate-Graduate,All USA States,,Public,Law,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,KSU student,1,06/10/2023,TRUE,Donor,Open
Margot Bogner Memorial Scholarship,Margot Marie Pickering Bogner Memorial Scholarship Fund,2500,Undergraduate,All USA States,,Public,Any,3.5,TRUE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Community service 8 hours/Kansas State University student,1,06/10/2023,TRUE,Donor,Open
Eduardo Uvaldo Memorial Scholarship,Uvaldo,1000,Undergraduate-Graduate,All USA States,,Public,Any,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Lost a loved one,2,06/08/2023,TRUE,Donor,Open
Book Lovers Scholarship,Calvin Rosser,500,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Loves books,1,09/30/2023,TRUE,Donor,Open
Veterans Next Generation Scholarship,Richard and Stephanie Younkins,1500,Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Child of a veteran,3,07/01/2023,TRUE,Donor,Open
James Gabriel Memorial Scholarship,McCormack,1000,High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Survived a congenital heart defect,1,11/30/2023,TRUE,Donor,Open
Joey Anderson Dance & Theater Scholarship,Emma Bradley,2100,High School-Undergraduate,All USA States,,Public,Dance/Theater,0,FALSE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,TRUE,Donor,Open
Deborah Stevens Pediatric Nursing Scholarship,Deborah Stevens,3000,Undergraduate,All USA States,,Public,Pediatric Nursing,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,3,06/05/2023,TRUE,Donor,Open
John Traxler Theatre Scholarship,Traxler Family,800,Any,All USA States,,Public,Fine Arts/Theater,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/24/2023,TRUE,Donor,Open
Organic Formula Shop Single Parent Scholarship,Organic Formula Shop,2000,Undergraduate-Graduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Single parent child,Traditional Student,FALSE,Child of single parent,1,06/30/2023,TRUE,Independent,Open
"""A Bold Life"" No-Essay Scholarship",Calvin Rosser,500,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/31/2023,FALSE,Donor,Open
Jimmy Cardenas Community Leader Scholarship,Cardenas Family,500,Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Community Service,1,11/30/2023,TRUE,Donor,Open
Charles Cheesman's Student Debt Reduction Scholarship,Cheesman Family,23000,Undergraduate-Graduate,All USA States,African American/Hispanic/Latino,Public,Any,0,FALSE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation/Has student loan debt,4,05/30/2023,TRUE,Donor,Open
James R. Schaaf Civil Engineering Scholarship,Floodplain Management Association,10500,Undergraduate,All USA States,,Public,Civil Engineering,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,05/31/2023,TRUE,Donor,Open
HM Family Scholarship,HM Family Scholarship,1000,Senior High School-Undergraduate,All USA States,BIPOC,Public,STEM,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,05/30/2023,TRUE,Donor,Open
TJ Crowson Memorial Scholarship,The Crowson Family,3000,Senior High School-Undergraduate,All USA States,,Public,Law,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,TRUE,Low-income,2,08/15/2023,TRUE,Donor,Open
Alice and Gary Barthell Scholarship,Barthell Foundation Inc,2500,High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Junior ROTC,1,06/01/2023,TRUE,Donor,Open
Stephan L. Daniels Lift As We Climb Scholarship,Stephen Daniels,5000,Senior High School-Undergraduate,All USA States,African American/Black,Public,STEM,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,05/19/2023,TRUE,Donor,Reviewing
Alex D. Sharpless II Memorial Scholarship,Jenny Sharpless,1500,Senior High School,All USA States,,Public,Business/Accounting/Information Technology,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,TRUE,Donor,Open
FMA College Scholarship,Floodplain Management Association,10000,Undergraduate,All USA States,,Public,STEM,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,05/31/2023,TRUE,Donor,Open
Williams Foundation Trailblazer Scholarship,Williams Foundation,1000,Senior High School,All USA States,BIPOC,Public,Any,2.5,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,TRUE,Low-income,1,06/01/2023,TRUE,Donor,Open
Alkenyatta Al Wilson Scholarship,JACOPRI INC,750,Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Bethune-Cookman University student,1,05/23/2023,TRUE,Donor,Open
"She Rose Initiative's ""More Than a Conqueror"" Scholarship",She Rose Initiative,500,Undergraduate-Graduate,All USA States,African American,Public,STEM/Healthcare/Health/Public Health/Medicine,3.0,TRUE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Diagnosed with a systemic autoimmune disease,1,05/22/2023,TRUE,Donor,Reviewing
Young Women in STEM Scholarship,Stephanie Hagopian,15000,Senior High School-Undergraduate,All USA States,,Public,STEM,0,FALSE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,TRUE,Low-income,3,05/23/2023,TRUE,Donor,Reviewing
Curiosity Chronicle Scholarship,Bold,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
Dema Dimbaya Humanitarianism and Disaster Relief Scholarship,Dema Dimbaya,2000,Any,All USA States,African American,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Community Service,2,05/19/2023,TRUE,Donor,Reviewing
To The Moon Scholarship,Bold,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Jerrye Chesnes Memorial Scholarship,Chesnes,3000,Undergraduate-Graduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Nontraditional student,FALSE,Parent/Returning to school,2,06/01/2023,TRUE,Donor,Open
Chris Ford Scholarship,Chris Ford,10000,Senior High School,All USA States,Black,Public,Business,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,4,05/18/2023,TRUE,Donor,Reviewing
Students Impacted by Incarceration Scholarship,Rishi Malhotra,1000,High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Affected by incarceration,1,05/15/2023,TRUE,Donor,Open
Lauren Czebatul Scholarship,Nick Scheller,3700,High School-Undergraduate,All USA States,,Public,Any,3.0,TRUE,All gender,FALSE,TRUE,FALSE,Together,Traditional Student,TRUE,Low-income/Sport Extracurricular/Volunteering,1,08/04/2023,TRUE,Donor,Open
Patricia Ann Whelan Memorial Scholarship,Whelan Family,500,Undergraduate,All USA States,,Public,Education,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Marrywood University student,1,10/22/2023,TRUE,Donor,Open
For What It's Worth Scholarship,Bold,1000,Any,All USA States,,Public,Education,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Ruebenna Greenfield Flack Scholarship,Enya Flack,2300,Undergraduate,All USA States,,Public,Education,0,FALSE,Female,TRUE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,09/15/2023,TRUE,Donor,Open
Yvela Michele Memorial Scholarship for Resilient Single Parents,American Notary & Signing Services,1000,Any,All USA States,,Public,Education,0,FALSE,All gender,FALSE,FALSE,FALSE,Single parent family,Traditional Student,FALSE,Single parent related,1,05/20/2023,TRUE,Donor,Open
Ruthie Brown Scholarship,Lee Porscha Moore,5000,Any,All USA States,BIPOC,Public,Education,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Nontraditional student,FALSE,Adult learner/Non-traditional student/disability student/full or part-timer,1,05/27/2023,TRUE,Donor,Open
King Jay Foundation Scholarship,Brittany Murry,500,High School,All USA States,,Public,Education,3.5,TRUE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation,1,06/23/2023,TRUE,Donor,Open
Fuerza Y Ganas Scholarship,Estanislao,1500,High School-Undergraduate,All USA States,Hispanic,Public,Medicine,0,FALSE,Female,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation,3,06/01/2023,TRUE,Donor,Open
Jacob Daniel Dumas Memorial Jewish Scholarship,Dumas,3000,Senior High School-Undergraduate,All USA States,,Jewish,STEM,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,09/04/2023,TRUE,Donor,Open
Nitro Pay For College No-Essay Scholarship,Bold,10000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
Forget Your Student Debt No-Essay Grant,Bold,500,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
500 Bold Points No-Essay Scholarship,Bold,5000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
Be Bold No-Essay Scholarship,Bold,25046,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
Conscious Consumer Scholarship,Bold,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
1000 Bold Points No-Essay Scholarship,Bold,10000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
Bold No-Essay Community Scholarship,Bold,5000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
Bold No-Essay Top Friend Scholarship,Bold,5000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
400 Bold Points No-Essay Scholarship,Bold,4000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
300 Bold Points No-Essay Scholarship,Bold,3000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
200 Bold Points No-Essay Scholarship,Bold,2000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
100 Bold Points No-Essay Scholarship,Bold,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
CollegeVine Dream School Scholarship,Bold,1000,High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Daily Upside Business News Scholarship,Bold,1000,Graduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Micheal Passanita Memorial Scholarship,Beth,1000,High School-Undergraduate,All USA States,,Public,Culinary Arts,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,food service industry,1,10/30/2023,TRUE,Donor,Open
Gloria Stokes Memorial Scholarship,Jada Dumas,500,Senior High School-Undergraduate,All USA States,African American,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,TRUE,Low-income,1,05/25/2023,TRUE,Donor,Open
Jeannine Schroeder Women in Public Service Memorial Scholarship,Andrea Beck,4000,Undergraduate,All USA States,,Public,STEAM/Public Service,0,FALSE,Female,FALSE,TRUE,FALSE,Together,Traditional Student,FALSE,Volunteering,4,05/23/2023,TRUE,Donor,Open
Cade Reddington Be the Light Scholarship,Cade Reddington Memorial Fund,2000,Senior High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Affected by substance use or addiction or mental health struggles,2,10/22/2023,TRUE,Donor,Open
Community Reinvestment Grant Pride Scholarship,The Atlanta Pride Committe Inc,2500,High School-Undergraduate,All USA States,,Public,Any,0,FALSE,LGBTQ+,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation,1,05/28/2023,TRUE,Donor,Open
Kristen McCartney Perseverance Scholarship,Kristen's Krew,4000,High School,All USA States,,Public,Any,3.5,TRUE,Female,FALSE,TRUE,FALSE,Together,Traditional Student,FALSE,Volunteering,2,05/30/2023,TRUE,Donor,Open
Dr. Ifeoma Ezebuiro Ezeobele Africans in Nursing Scholarship,Ezebuiro,1000,Undergraduate-Graduate,All USA States,African American/Black,Public,Nursing,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,10/16/2023,TRUE,Donor,Open
Andrea M Taylor Future Doctors Scholarship,Ajeenah Crittendon,500,Any,All USA States,African American,Public,Medicine,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,TRUE,Low-income,1,05/28/2023,TRUE,Donor,Open
Alma J. Grubbs Education Scholarship,Serenia Beckton,500,Any,All USA States,African American,Public,Education/Teaching,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/29/2023,TRUE,Donor,Open
Filipino-American Scholarship,Lee Cortez,1500,Undergraduate,All USA States,Filipino,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Community service experience,3,09/02/2023,TRUE,Donor,Open
Keep Going Forward No Essay Scholarship,Ben Schneider,1500,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,10/30/2023,FALSE,Donor,Open
Ventana Ocean Conservation Scholarship,Ventana Surfboards & Supplies,3300,Any,All USA States,,Public,Ocean Conservation/Marine Science/Environtmental Science/Marine Biology,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,07/15/2023,TRUE,Donor,Open
Mohamed Magdi Taha Memorial Scholarship,Taha Family,6000,Undergraduate,All USA States,African/Black,Public,STEAM/Arts,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,3,07/01/2023,TRUE,Donor,Open
Trees for Tuition Scholarship Fund,Trees for Tuition,24000,Senior High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,12,07/01/2023,TRUE,Donor,Open
Jacques Borges Memorial Scholarship,MONA LISA LYSINGER,4964,High School-Undergraduate,All USA States,,Public,Civil Engineering,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/28/2023,TRUE,Donor,Open
Dylan James Miller Memorial Scholarship,Kim Miller,500,Undergraduate-Graduate,All USA States,,Public,Automotive,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,TRUE,Donor,Open
Refind - Get Smarter Every Day Scholarship,Bold,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Best Catholic Colleges No-Essay Scholarship,Bold,1000,High School,All USA States,,Catholic,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Best Faith-Based Colleges No-Essay Scholarship,Bold,1000,High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Matt Preziose Creative Scholarship,Gisela Delgado,1000,Undergraduate,All USA States,,Public,Arts,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,09/05/2023,TRUE,Donor,Open
Ojeda Multi-County Youth Scholarship,Geanette Rodriguez-Ojeda,1000,Senior High School,All USA States,BIPOC,Public,Any,2.9,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,08/01/2023,TRUE,Donor,Open
D'Andre J. Brown Memorial Scholarship,Cindy Brown,4355,Senior High School,All USA States,,Public,Any,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,06/01/2023,TRUE,Donor,Open
Lieba's Legacy Scholarship,Joran Family,1000,High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Academic Merit/Nurturing social-emotional wellbeing and gifted children,1,05/25/2023,TRUE,Donor,Open
Huddle Up Scholarship,Bold,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Front Office Sports Scholarship,Bold,500,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Margalie Jean-Baptiste Scholarship,Patrick Barron,1000,Senior High School,All USA States,,Public,Any,0,FALSE,Female,FALSE,FALSE,TRUE,Together,Traditional Student,TRUE,First-generation/Low-income,1,06/01/2023,TRUE,Donor,Open
Chang Heaton Scholarship for Music Excellence,Melody Heaton,2500,Undergraduate-Graduate,All USA States,BIPOC,Public,Music/Theater,0,FALSE,All gender,FALSE,FALSE,TRUE,Together,Traditional Student,FALSE,First-generation,5,07/28/2023,TRUE,Donor,Open
WayUp Dream Job No-Essay Scholarship,Bold,1000,Undergraduate-Graduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Graduate between 2020-2026,1,06/01/2023,FALSE,Donor,Open
Taylor Ibarrondo Memorial Scholarship,Ibarrondo Family,2266,High School,All USA States,,Public,Any,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Demonstrated interest in civic engagement,2,06/07/2023,TRUE,Donor,Open
ESPDaniella Debt Grant,Carlynn Greene,4500,Undergraduate-Graduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Has student debt,3,07/31/2023,FALSE,Donor,Open
Dashanna K. McNeil Memorial Scholarship,Dashanna K McNeil Memorial Scholarship,1220,Any,All USA States,,Public,Nursing,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,3,07/01/2023,TRUE,Donor,Open
Dollar Isn't Everything Scholarship,Ben Schneider,500,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,08/31/2023,FALSE,Donor,Open
The GIST Women's Sports Business Scholarship,Bold,1000,Undergraduate-Graduate,All USA States,,Public,Any,0,FALSE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Cappex Adult Learners Scholarship,Bold,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Nontraditional student,FALSE,Non-traditional students,2,06/01/2023,FALSE,Independent,Open
Survey Junkie Brand Influencer No-Essay Scholarship,Bold,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
Cappex No-Essay Scholarship,Bold,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
CollegeXpress No-Essay Scholarship,Bold,1000,High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Catholic Colleges No-Essay Scholarship,Bold,1000,High School,All USA States,,Catholic,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Going Merry Multiple No-Essay Scholarship in One Scholarship,Going Merry,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,TRUE,Donor,Open
Learner Education Women in Mathematics Scholarship,Learner,1000,High School-Undergraduate,All USA States,,Public,Math,0,FALSE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,TRUE,Donor,Open
GIST Sports Media No-Essay Scholarship,Bold,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,TRUE,Donor,Open
Ukrainian Women in STEM,Anonymous Donor,20000,Undergraduate,All USA States,,Public,STEM,0,FALSE,Female,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Ukranian Nationality,4,09/01/2023,TRUE,Donor,Open
Ethel Hayes Destigmatization of Mental Health Scholarship,Dr.Terence O. Hayes Sr,11200,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,3,06/14/2023,TRUE,Donor,Open
Average Joe Financial News Scholarship,Bold,1000,Undergraduate-Graduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
Wondermind Mental Fitness No-Essay Scholarship,Bold,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Scott McLam Memorial Scholarship,John Gerli,6000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Playing Lacrosse sport,2,06/10/2023,TRUE,Donor,Open
Niche College No-Essay Scholarship,Bold,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Science for Life Biology and Health Science No-Essay Scholarship,Bold,1000,Any,All USA States,,Public,Biology/Health Science,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
A Bold Mind Psychology No-Essay Scholarship,Bold,1000,Any,All USA States,,Public,Psychology,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
Faith-Based Colleges No-Essay Scholarship,Bold,1000,High School,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Donor,Open
Milk Road Crypto and Web3 No-Essay Scholarship,Bold,1000,Any,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,1,06/01/2023,FALSE,Independent,Open
Hannah's Community Foster Care Forward Scholarship,Hannah Pfister,500,High School-Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Currently in or have aged out of the foster care system,1,07/01/2023,TRUE,Donor,Open
Kim Moon Bae Underrepresented Students Scholarship,John Kim,1000,Undergraduate,All USA States,,Public,Any,0,FALSE,All gender,TRUE,FALSE,FALSE,Together,Traditional Student,FALSE,Underrepresented minority,1,09/01/2023,TRUE,Donor,Open
Dreamer's Midpoint Scholarship,Dreamer's Midpoint,500,Senior High School-Undergraduate,All USA States,,Public,Any,2.5,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,Non US citizen,1,10/15/2023,TRUE,Donor,Open
Hector L. Minott Sr. Future Doctor Scholarship,Anonymous,1000,Undergraduate-Graduate,All USA States,African American,Public,Health Science,0,FALSE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,None,2,10/16/2023,TRUE,Donor,Open
ESOF Academic Scholarship,ESOF,1000,Senior High School,All USA States,African American,Public,Any,3.0,TRUE,All gender,FALSE,FALSE,FALSE,Together,Traditional Student,FALSE,HBCU student,2,08/01/2023,TRUE,Donor,Open
